asset_id,filename,path,status,usage_tier,quality_grade,pose,expression,crop,lighting,background,outfit,hair,caption,notes,sha256,width,height
ZAN-V1-B007,zan_v1_b007_gaze_down_headshot.png,approved/poses/zan_v1_b007_gaze_down_headshot.png,approved,B_pose_expression,B,"front-facing, gaze down",calm eyes down,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, gaze down, calm eyes down expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",0f3897a86814fdbb28ba03c344122815d4ba7f9d61915d4259a858136ac0f043,384,512
ZAN-V1-B008,zan_v1_b008_front_open_smile_headshot.png,approved/poses/zan_v1_b008_front_open_smile_headshot.png,approved,B_pose_expression,B,front-facing,open natural smile,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, open natural smile expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",c47020a8301c5840f3a54c9e65d8e4dca2e0071be8f1a4ecda85d79614236a49,384,512
ZAN-V1-B009,zan_v1_b009_front_neutral_square.png,approved/poses/zan_v1_b009_front_neutral_square.png,approved,B_pose_expression,B,front-facing,neutral,square bust/head reference,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, neutral expression, neutral gray studio, ivory embroidered blouse.",Split from collage; use for angle coverage. Back view is hair/outfit reference only.,cfb815fcbde6d8522e6a3081d33e5a59c8b9347c8eca22f5d69b74150fb60207,512,512
ZAN-V1-B010,zan_v1_b010_three_quarter_right_square.png,approved/poses/zan_v1_b010_three_quarter_right_square.png,approved,B_pose_expression,B,three-quarter right,neutral,square bust/head reference,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, three-quarter right, neutral expression, neutral gray studio, ivory embroidered blouse.",Split from collage; use for angle coverage. Back view is hair/outfit reference only.,f3645f302103bc8e2c26f737dfea469ae701ec723b35ba53f00fab237619b953,512,512
ZAN-V1-B011,zan_v1_b011_right_profile_square.png,approved/poses/zan_v1_b011_right_profile_square.png,approved,B_pose_expression,B,right profile,neutral,square bust/head reference,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, right profile, neutral expression, neutral gray studio, ivory embroidered blouse.",Split from collage; use for angle coverage. Back view is hair/outfit reference only.,164cd8cf12a63280596773e2b350c5b022b5a36940c16c6f4d727b7914983ecd,512,512
ZAN-V1-B012,zan_v1_b012_three_quarter_left_confident_headshot.png,approved/poses/zan_v1_b012_three_quarter_left_confident_headshot.png,approved,B_pose_expression,B,three-quarter left,serious confident,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, three-quarter left, serious confident expression, neutral gray studio, ivory embroidered blouse.",Split from collage; use for angle coverage. Back view is hair/outfit reference only.,0744ad68b70a20decf64ddbdce81cee0c25f7c13bd27c3d33d607ffb2d026f70,384,488
ZAN-V1-B013,zan_v1_b013_three_quarter_right_chin_high_headshot.png,approved/poses/zan_v1_b013_three_quarter_right_chin_high_headshot.png,approved,B_pose_expression,B,"three-quarter right, chin high",confident,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, three-quarter right, chin high, confident expression, neutral gray studio, ivory embroidered blouse.",Split from collage; use for angle coverage. Back view is hair/outfit reference only.,0e22f0c53108dd07fafc5e0c6c12d51536d8fc7fbd58438ef17a83061b776941,384,488
ZAN-V1-B014,zan_v1_b014_gaze_down_bust_headshot.png,approved/poses/zan_v1_b014_gaze_down_bust_headshot.png,approved,B_pose_expression,B,"three-quarter right, gaze down",calm eyes down,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, three-quarter right, gaze down, calm eyes down expression, neutral gray studio, ivory embroidered blouse.",Split from collage; use for angle coverage. Back view is hair/outfit reference only.,ac0803cb3141bfcace146d7061395ee195c4f9e135940b4d64d5966b0d7c59b1,384,488
ZAN-V1-B015,zan_v1_b015_back_hair_reference.png,approved/poses/zan_v1_b015_back_hair_reference.png,approved,B_pose_expression,B,back view,not applicable,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair from rear, center part not visible","Zantara v1 back hair reference, back view, not applicable expression, neutral gray studio, ivory embroidered blouse.",Split from collage; use for angle coverage. Back view is hair/outfit reference only.,b2fd2bba7b7356d62a4a75def5d06a59258be048814439ed0ce44f4257aef11f,384,488
ZAN-V1-A005,zan_v1_a005_front_neutral_anchor.png,approved/anchors/zan_v1_a005_front_neutral_anchor.png,approved,A_anchor,A,front-facing,neutral calm,head and shoulders,soft front light,neutral gray studio,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 front-facing neutral anchor, head and shoulders, neutral gray studio, soft front light, identity-lock production-ready.","Codex-generated, 2026-05-16. img2img with ZAN-V1-A001 reference. Promoted from generated_candidates after QA pass.",1d054bbf01a98f9bf34faf18cdc35a33f17b9b3fc19ff1a7f54719a4c7c71d84,1402,1122
ZAN-V1-A006,zan_v1_a006_front_slight_smile_anchor.png,approved/anchors/zan_v1_a006_front_slight_smile_anchor.png,approved,A_anchor,A,front-facing,slight smile,head and shoulders,soft front light,neutral gray studio,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 front-facing slight-smile anchor, head and shoulders, neutral gray studio, soft front light.","Codex-generated, 2026-05-16. Expression variant of A005.",d6476f172ce8b0caca680c96994004177ab79dbf771a5b3b81219dd0d78684ba,1536,1024
ZAN-V1-A007,zan_v1_a007_front_serious_anchor.png,approved/anchors/zan_v1_a007_front_serious_anchor.png,approved,A_anchor,A,front-facing,serious,head and shoulders,soft front light,neutral gray studio,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 front-facing serious anchor, head and shoulders, neutral gray studio, ideal for regulatory news-flash hero shots.","Codex-generated, 2026-05-16. Serious-anchor variant for gravitas content.",6455cc8c393b587d752e167dd81794050c40bfa8bb9fb02eb783501f651ac026,1402,1122
ZAN-V1-P001,zan_v1_p001_left_profile_clean.png,approved/poses-extended-codex/zan_v1_p001_left_profile_clean.png,approved,B_pose,A,left profile (90 deg),serene distant,head and shoulders,soft rim from camera-left,neutral medium-gray studio,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 strict left profile, jawline rim-lit, identity-hold preserved via img2img anchor reference.","Codex-generated, 2026-05-16. Closes left-profile gap in DATASET_CARD. Earlier text-only attempt drifted; this Codex img2img passed QA.",c5eee680b87f62667c53404006aa58737dc104e3e56734a6b965a13d59f83b15,1024,1536
ZAN-V1-P002,zan_v1_p002_fullbody_standing_pumps.png,approved/poses-extended-codex/zan_v1_p002_fullbody_standing_pumps.png,approved,B_pose,A,standing full body,neutral confident,full body head-to-feet,soft key from above-left,neutral medium-gray studio,"ivory silk blouse over black trousers, black pumps, small gold hoop earrings","long straight black hair, center part","Zantara v1 full-body standing, professional posture, black trousers + pumps wardrobe extension preserved.","Codex-generated, 2026-05-16. First approved full-body. Outfit extension black trousers/pumps clean.",8b058e435675088c890418f14e965be6343ad21401d676b7b1fbb5429d0c8e68,1024,1536
ZAN-V1-P003,zan_v1_p003_halfbody_seated_stool.png,approved/poses-extended-codex/zan_v1_p003_halfbody_seated_stool.png,approved,B_pose,A,half-body seated,composed,half-body waist up,soft warm key,neutral medium-gray studio,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, lateral natural fall","Zantara v1 half-body seated on stool, composed expression, natural lateral hair fall.","Codex-generated, 2026-05-16. Seated pose for interview/portrait composition.",aaa16c31854fe0fef42f247d83b96c25da7c9417c1eb78ad3f77d14925a3d8e6,1024,1536
ZAN-V1-BALI-001,zan_v1_bali_rice_terrace_golden.png,approved/anchors-bali-context-codex/zan_v1_bali_rice_terrace_golden.png,approved,A_anchor,A+,three-quarter facing camera,serene contemplative,head and shoulders,golden hour key from camera-right,Bali rice terrace + palm + volcanic mountain horizon,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, slightly wind-shifted","Zantara v1 hero-grade Bali rice terrace golden hour, identity preserved, environmental authenticity.","Codex-generated, 2026-05-16. HERO-grade Bali context anchor — first time character placed in authentic Balinese landscape.",dd871c901190e7f4db7cc3984627bb51496826259666b1601c7a1138f8e975b8,1536,1024
ZAN-V1-BALI-002,zan_v1_office_blazer_bookshelf.png,approved/anchors-bali-context-codex/zan_v1_office_blazer_bookshelf.png,approved,A_anchor,A+,three-quarter facing camera,composed authority,bust portrait,warm tungsten key from window-left,Bali Zero office bookshelf + plant,"black blazer over ivory silk blouse with gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 office blazer hero, identity preserved, professional authority context.","Codex-generated, 2026-05-16. HERO-grade outfit extension (black blazer + ivory blouse layering) approved.",44266f1054bdb06b1a2ebfdd195a9ef3db634769718955aac21d80fe629f7c95,1536,1024
ZAN-V1-P004,zan_v1_p004_right_profile_clean.png,approved/poses-extended-codex/zan_v1_p004_right_profile_clean.png,approved,B_pose,A-,right profile 90 degrees,neutral,bust profile portrait,soft side light from camera-left,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 clean right profile, 90 degree angle, neutral expression, ivory blouse, neutral gray studio.","Codex-generated, 2026-05-16. Completes the symmetric profile pair; compare with B011 for angle consistency.",626b3d8312a7f23d84a797ee7ac5b1971dffb61e4e8c8d03d0aacfbf4181dd78,1024,1536
ZAN-V1-L001,zan_v1_l001_side_light_left.png,approved/lighting-codex/zan_v1_l001_side_light_left.png,approved,B_lighting,A-,front-facing,neutral,head and shoulders,side light from camera-left,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 controlled side-light-left studio portrait, front-facing, neutral expression, gray background.","Codex-generated, 2026-05-16. Lighting variant; use for shadow robustness, not as the primary face anchor.",331f4ab5958da8c439970f128761a561fce5b24a754eca8f18f46b609ff4a826,1402,1122
ZAN-V1-L002,zan_v1_l002_side_light_right.png,approved/lighting-codex/zan_v1_l002_side_light_right.png,approved,B_lighting,A-,front-facing,neutral,head and shoulders,side light from camera-right,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 controlled side-light-right studio portrait, front-facing, neutral expression, gray background.","Codex-generated, 2026-05-16. Lighting variant; preserves identity under lateral light.",11de9bc51573166bdc6822d515faaaf7f4b03cdb5d50e6397922fa9625c8a439,1402,1122
ZAN-V1-L003,zan_v1_l003_high_key_white.png,approved/lighting-codex/zan_v1_l003_high_key_white.png,approved,B_lighting,A-,front-facing,neutral,head and shoulders,high-key soft studio light,clean white studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 high-key white studio portrait, front-facing, neutral expression, clean white background.","Codex-generated, 2026-05-16. High-key production variant; avoid overweighting against gray anchors.",c012e67379c9ee83c78e8e0e8210f6ef541f2d2409645873c91d33fa84ea00ed,1402,1122
ZAN-V1-L004,zan_v1_l004_dark_gray_editorial.png,approved/lighting-codex/zan_v1_l004_dark_gray_editorial.png,approved,B_lighting,A-,front-facing,neutral,head and shoulders,low-key editorial softbox light,dark neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 dark gray editorial lighting portrait, front-facing, neutral controlled expression.","Codex-generated, 2026-05-16. Low-key editorial variant with retained eye detail.",75785a471601af888d6847f7c8add3a87d9739b4b143f85546580babf6f64387,1402,1122
ZAN-V1-O001,zan_v1_o001_charcoal_blouse.png,approved/outfits-codex/zan_v1_o001_charcoal_blouse.png,approved,B_outfit,A-,front-facing,neutral confident,bust portrait,soft front studio light,neutral gray studio background,structured charcoal silk blouse with subtle antique gold trim,"long straight black hair, center part","Zantara v1 charcoal blouse variant, front-facing bust portrait, neutral confident expression.","Codex-generated, 2026-05-16. Alternate outfit accepted after face QA; do not use as uniform replacement.",e54fbd781d0add0c148f2b55b3ec9366233d3a944008e6bbbf181c379e227d35,1024,1536
ZAN-V1-O002,zan_v1_o002_black_blazer_studio.png,approved/outfits-codex/zan_v1_o002_black_blazer_studio.png,approved,B_outfit,A-,front-facing,archival calm,bust portrait,soft front studio light,neutral gray studio background,black modern blazer over ivory silk blouse with restrained gold embroidery,"long straight black hair, center part","Zantara v1 black blazer studio authority variant, front-facing bust portrait, calm archival expression.","Codex-generated, 2026-05-16. Studio blazer variant; separate from the stronger office blazer hero anchor.",3a814d5d6e85aa827effa6d36441cc3c3f5042bbbb9a8a9274a793e7598bc087,1024,1536
ZAN-V1-J001,zan_v1_j001_no_earrings.png,approved/jewelry-hair-codex/zan_v1_j001_no_earrings.png,approved,B_jewelry_hair,A-,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 no-earrings studio headshot, front-facing, neutral expression, ivory embroidered blouse.","Codex-generated, 2026-05-16. Reduced-jewelry variant passed identity QA; useful when earrings are not appropriate.",c99b1c5f45298911cdd03ef0203926f02129268dafa260178ab00ba648c2be23,1122,1402
ZAN-V1-J002,zan_v1_j002_pearl_studs.png,approved/jewelry-hair-codex/zan_v1_j002_pearl_studs.png,approved,B_jewelry_hair,A-,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 pearl stud earring variant, three-quarter bust portrait, ivory embroidered blouse.","Codex-generated, 2026-05-16. Pearl studs are visible and controlled; use as alternate subtle jewelry variant.",4bec987ba35177c63cefed6369783ca106a0c6cd0549962840073116a6c66e68,1023,1537
ZAN-V1-BALI-005,zan_v1_bali_temple_courtyard_codex.png,approved/anchors-bali-context-codex/zan_v1_bali_temple_courtyard_codex.png,approved,A_anchor,A-,front-facing,protective serious,bust portrait,warm diffused courtyard light,"quiet Balinese temple courtyard with carved stone and warm amber highlights, respectful editorial framing",ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part","Zantara v1 Balinese temple courtyard portrait, protective serious expression, ivory embroidered blouse.","Codex-generated, 2026-05-16. Respectful Bali context; no costume framing or readable text.",08f0dac9f3db48d0049fefd7a6a872da79380ce4c321d95a74b14bb6944eac5b,1024,1535
ZAN-V1-BALI-006,zan_v1_bali_banyan_cinematic_codex.png,approved/anchors-bali-context-codex/zan_v1_bali_banyan_cinematic_codex.png,approved,A_anchor,A-,three-quarter right,protective calm,half body,warm amber cinematic light,"ancient banyan tree setting with warm amber practical lights, cinematic but photorealistic",structured charcoal silk blouse with subtle antique gold trim,"long straight black hair, center part","Zantara v1 banyan cinematic Bali portrait, three-quarter body, calm confident presence.","Codex-generated, 2026-05-16. Strong environmental anchor; use for context/style, not close-up identity training.",a4e3a44f8a61e14a26be2d2b83fa2a386d5462d34ee0805856d29b67457328a5,1023,1537
ZAN-V1-H001,zan_v1_h001_hair_behind_ears.png,approved/jewelry-hair-codex/zan_v1_h001_hair_behind_ears.png,approved,B_jewelry_hair,A-,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part, tucked behind both ears","Zantara v1 hair tucked behind both ears studio headshot, front-facing, relaxed micro-smile.","Codex-generated, 2026-05-16. Hairline and face shape remain coherent; useful for controlled hair variation.",2027247b0a7c4d87e83612bce40bacf9ff07474b51c888122644ef690b82fb44,1536,1024
ZAN-V1-H002,zan_v1_h002_loose_low_bun.png,approved/jewelry-hair-codex/zan_v1_h002_loose_low_bun.png,approved,B_jewelry_hair,A-,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long black hair gathered in a loose low bun, same hairline and color","Zantara v1 loose low bun studio bust portrait, thoughtful calm expression, ivory embroidered blouse.","Codex-generated, 2026-05-16. Low-bun variation passed close inspection; keep lower weight than straight-hair anchors.",fc2d5d5fbfda3619d78f00cb5df96b99d0ba0c6cd60c3a40dac127ff5af6e419,1024,1536
