automation_id;display_name;automation_type;host;schedule;schedule_tz;status;blast_radius;critical;affects_clients;is_idempotent;side_effects;has_fallback;has_lock;script_path;log_path;restart_cmd;infra_deps;external_api_deps;blocks_jobs;staleness_threshold_h;last_success_at;last_failure_at;failure_count_7d;owner;on_call_notify;description;documented_in;in_claude_md;has_tests;last_modified_at;notes
air-launchd-homebrew-ollama;Ollama Air (Homebrew);launchd;air;always_on;UTC;ok;MEDIUM;false;false;true;none;true;none;/opt/homebrew/bin/ollama serve;/tmp/ollama.log;brew services restart ollama;ollama_local;;air-cron-ollama-start|air-cron-auto-test|air-cron-sentinel|air-cron-kb-ingest;1;;;0;zero;telegram:413539912;Ollama sempre attivo su Air. Modelli: gemma4:26b, qwen3.5:9b.;CLAUDE.md §13d;true;false;2026-03-08;
air-cron-ollama-start;Ollama Start (Cron Window);cron_air;air;01:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;none;false;none;scripts/ollama_cron_window.sh start;logs/ollama_cron.log;scripts/ollama_cron_window.sh start;ollama_local;;air-cron-auto-test|air-cron-sentinel|air-cron-kb-ingest;25;;;0;zero;telegram:413539912;Avvia Ollama per la finestra batch notturna 01:00-06:05.;CLAUDE.md §18 Cron Air;true;false;2026-03-01;Se Ollama non parte → 3 job downstream falliscono in cascata. Nessun alerting su failure proprio — GAP.
air-cron-ollama-stop;Ollama Stop (Safety Net);cron_air;air;06:05 WITA;Asia/Makassar;ok;LOW;false;false;true;none;false;none;scripts/ollama_cron_window.sh stop;logs/ollama_cron.log;scripts/ollama_cron_window.sh stop;ollama_local;;;7;;;0;zero;;Ferma Ollama safety net dopo tutti i task notturni.;CLAUDE.md §18 Cron Air;true;false;2026-03-01;
air-cron-auto-test;Auto Test Suite;cron_air;air;02:15 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;telegram_sent;false;none;scripts/auto_test.sh;logs/auto_test.log;scripts/auto_test.sh;ollama_local;;air-cron-sentinel;25;;;0;zero;telegram:413539912;Backend pytest (agentic + LLM dirs). Alert Telegram se fail. Richiede Ollama attivo.;CLAUDE.md §18 Cron Air;true;true;2026-03-31;Fixato 2026-03-31: aggiunto Telegram alert su failure (era set -e silenzioso)
air-cron-sentinel;Sentinel → Core Guardian Watchdog;cron_air;air;03:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;telegram_sent;true;none;scripts/auto_sentinel.sh → apps/evaluator/core_guardian/watchdog.py;logs/sentinel.log;scripts/auto_sentinel.sh;ollama_local|local_fs;;;25;;;0;zero;telegram:413539912;Auto-repair broken jobs: detect errori, patch, retry. Core Guardian L1 Watchdog.;CLAUDE.md §15 Core Guardian V3;true;true;2026-03-31;Fixato 2026-03-31: path sbagliato apps/core/ → apps/evaluator/core_guardian/
air-cron-kb-ingest;KB Ingest;cron_air;air;05:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;db_write;false;none;scripts/auto_kb_ingest.sh;logs/kb_ingest.log;scripts/auto_kb_ingest.sh;qdrant_fly|ollama_local|postgres_fly;;;25;;;0;zero;telegram:413539912;Ingest knowledge base: visa + peraturan + putusan spiders. Richiede Ollama attivo.;CLAUDE.md §18 Cron Air;true;false;2026-03-31;Fixato 2026-03-31: graceful skip se script mancanti (run_if_exists wrapper)
air-cron-crm-automation;CRM Automation Engine;cron_air;air;07:00 WITA;Asia/Makassar;ok;HIGH;true;true;true;db_write;true;none;scripts/crm_automation_engine.py;logs/crm_automation.log;python3 scripts/crm_automation_engine.py;postgres_fly|air-launchd-fly-pg-tunnel;;air-launchd-fly-pg-tunnel;25;;;0;zero;telegram:1125336968;4 moduli: quality fixes, doc checklists, renewals, stale detection. ~805 fix/run via Fly Postgres.;MEMORY.md CRM Automation Engine;true;false;2026-03-29;Dipende da tunnel localhost:15432 — ora always-on via LaunchAgent com.nuzantara.fly-pg-tunnel
air-cron-system-doctor;System Doctor (Daily Report);cron_air;air;08:00 WITA;Asia/Makassar;ok;LOW;false;false;true;telegram_sent;false;none;scripts/system_doctor.py --notify-telegram;logs/system_doctor.log;python3 scripts/system_doctor.py --notify-telegram;fly_io|qdrant_fly|postgres_fly;;;25;;;0;zero;telegram:413539912;Health check completo: backend, frontend, Fly.io, SSL, logs. Report mattutino Telegram.;CLAUDE.md §18 Cron Air;true;false;2026-03-31;Fixato 2026-03-31: aggiunto --notify-telegram arg mancante
air-cron-seo-guardian;SEO Guardian (KBLI Indexing);cron_air;air;09:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;external_api_call;false;none;apps/evaluator/seo_guardian_agent.py --observe-first;~/.openclaw/logs/seo_guardian.log;python3 apps/evaluator/seo_guardian_agent.py --observe-first;fly_io;google_search_console_api;;25;;;0;zero;telegram:413539912;KBLI indexing submit + SEO/GEO audit. 420/1563 KBLI URL indicizzate.;AUTOMATIONS_REFERENCE.md §15;true;false;2026-03-31;Fixato 2026-03-31: npx absolute path /opt/homebrew/bin/npx. os.path.exists check aggiunto.
air-cron-rag-canary;RAG Canary (Embedding Drift);cron_air;air;30 */6 * * *;Asia/Makassar;ok;HIGH;true;true;true;file_created;true;none;scripts/rag_canary.py;logs/rag_canary.log;python3 scripts/rag_canary.py;qdrant_fly|fly_io;openai_api;air-cron-sentinel;7;;;0;zero;telegram:413539912;Embedding drift detection + golden query regression ogni 6h. Alert se cosine similarity < threshold.;CLAUDE.md §18 Cron Air;true;false;2026-03-26;
air-cron-drive-watchdog;Drive Token Watchdog;cron_air;air;0 */6 * * *;Asia/Makassar;ok;HIGH;true;true;true;telegram_sent;false;none;scripts/drive_token_watchdog.py;logs/drive_watchdog.log;python3 scripts/drive_token_watchdog.py;postgres_fly;google_drive_oauth||google_oauth;;7;;;0;zero;telegram:413539912;Monitora scadenza OAuth token Google Drive. Alert Telegram 7gg prima scadenza. Se scade silenziosamente → nessun doc processato.;CLAUDE.md §18 Drive Polling CRITICAL;true;false;2026-03-22;Se scade: re-auth su kita.balizero.com/settings/integrations
air-cron-nlm-t4-monitor;NLM T4 Social Media Monitor;cron_air;air;0 */6 * * *;Asia/Makassar;ok;LOW;false;false;true;file_created;false;none;apps/evaluator/nlm_deep_research/scripts/run_t4_monitor.sh;~/.openclaw/logs/t4_monitor.log;bash apps/evaluator/nlm_deep_research/scripts/run_t4_monitor.sh;;notebooklm_api;;7;;;0;zero;telegram:413539912;NotebookLM T4 social media monitor ogni 6h. PID lock previene doppia istanza.;AUTOMATIONS_REFERENCE.md §4;false;false;2026-03-31;Fixato 2026-03-31: aggiunto source .env prima dell'esecuzione
air-cron-ragas-eval;RAGAS Eval Settimanale;cron_air;air;Sun 06:00 WITA;Asia/Makassar;ok;LOW;false;false;true;file_created;false;none;scripts/ragas_eval.py;logs/ragas_eval.log;python3 scripts/ragas_eval.py;qdrant_fly|postgres_fly;openai_api;;192;;;0;zero;telegram:413539912;Valutazione qualità RAG settimanale (RAGAS metrics). Solo domenica.;CLAUDE.md §18 Cron Air;true;false;2026-03-14;Richiede ragas installato — auto-skip se missing (judgement_day pattern)
air-cron-judgement-day;Judgement Day (Weekly Rollup);cron_air;air;Sun 16:00 WITA;Asia/Makassar;ok;LOW;false;false;true;telegram_sent;false;none;scripts/auto_judgement_day.sh;logs/judgement_day.log;scripts/auto_judgement_day.sh;postgres_fly|fly_io;;;192;;;0;zero;telegram:413539912;Weekly rollup: 7gg stats, anomalie, report email/Telegram. Solo domenica.;CLAUDE.md §18 Cron Air;true;false;2026-03-31;Fixato 2026-03-31: skip se ragas non installato. venv/bin/python3 path assoluto.
pro-launchd-intel-nightly;Intel Scraper + War Room Nightly;launchd;pro;01:00 WITA;Asia/Makassar;ok;HIGH;true;false;true;db_write|telegram_sent;false;/tmp/warroom_pipeline.lock;apps/bali-intel-scraper/scripts/run_intel_pipeline.py + apps/war-room/pipeline.sh;~/.openclaw/workspace/logs/intel_nightly_YYYYMMDD.log;launchctl kickstart -k gui/$(id -u)/com.balizero.intel.nightly;postgres_fly|redis;gemini_api|telegram_bot_api;;25;;;zero;zero;telegram:1125336968 (group);Pipeline nightly: 609 fonti → AI enrichment (Gemini) → staging → War Room 10 agenti → Canva → Telegram ops group.;AUTOMATIONS_REFERENCE.md §6 Intel Scraper;true;false;2026-03-22;bali-intel-scraper NON su Fly.io. Lock /tmp/warroom_pipeline.lock previene doppia istanza.
pro-launchd-nlm-bridge;NLM Bridge (Always-On);launchd;pro;always_on;UTC;ok;MEDIUM;false;false;true;none;true;none;;;launchctl kickstart -k gui/$(id -u)/com.balizero.nlm-bridge;;notebooklm_api;;1;;;zero;zero;telegram:413539912;NLM Bridge — sync stato NotebookLM. PID=15346.;AUTOMATIONS_REFERENCE.md §3;false;false;2026-03-22;
pro-launchd-post-publish-webhook;Post-Publish Webhook;launchd;pro;always_on;UTC;ok;MEDIUM;false;false;true;webhook_fired;true;none;;;launchctl kickstart -k gui/$(id -u)/com.balizero.post-publish-webhook;;telegram_bot_api;;1;;;zero;zero;telegram:413539912;Notifica dopo publish articolo. PID=4213. KeepAlive=true.;AUTOMATIONS_REFERENCE.md §3;false;false;2026-03-22;
pro-launchd-openclaw-tunnel;OpenClaw Tunnel Pro;launchd;pro;always_on;UTC;ok;MEDIUM;false;false;true;none;true;none;;;launchctl kickstart -k gui/$(id -u)/ai.openclaw.tunnel;fly_io;;;1;;;zero;zero;telegram:413539912;OpenClaw tunnel Pro. PID=4220. KeepAlive=true. Non documentato precedentemente.;AUTOMATIONS_REFERENCE.md §3;false;false;2026-03-22;Aggiunto in audit 2026-03-31 — era mancante dal doc
pro-launchd-prime-dashboard;Prime Dashboard Server;launchd;pro;always_on;UTC;ok;LOW;false;false;true;none;true;none;;;launchctl kickstart -k gui/$(id -u)/com.nuzantara.prime-dashboard;;;pro-launchd-prime-tunnel;1;;;zero;zero;;Prime dashboard server Pro. PID=4200.;AUTOMATIONS_REFERENCE.md §3;false;false;2026-03-14;
pro-launchd-prime-tunnel;Prime Tunnel (prime.balizero.com);launchd;pro;always_on;UTC;ok;MEDIUM;true;true;true;none;true;none;;;launchctl kickstart -k gui/$(id -u)/com.nuzantara.prime-tunnel;fly_io;;;1;;;zero;zero;telegram:413539912;Tunnel per prime.balizero.com backend. PID=4199.;AUTOMATIONS_REFERENCE.md §3;true;false;2026-03-14;
pro-launchd-sentinel;Sentinel Pro;launchd;pro;*/5min;UTC;ok;MEDIUM;false;false;true;telegram_sent;true;none;scripts/nuzantara-sentinel.py;;python3 scripts/nuzantara-sentinel.py;local_fs;;;1;;;zero;zero;telegram:413539912;Sentinel Pro — health check ogni 5min. Diverso da Air sentinel (usa nuzantara-sentinel.py).;AUTOMATIONS_REFERENCE.md §3;false;false;2026-03-22;Path diverso da Air sentinel. PID=92155.
pro-launchd-dlq-autopilot;DLQ Autopilot;launchd;pro;*/30min;UTC;ok;MEDIUM;false;false;true;db_write|telegram_sent;true;none;~/scripts/dlq_autopilot.py;~/.agent/decisions/dlq.log;python3 ~/scripts/dlq_autopilot.py;local_fs|postgres_fly;;;1;;;zero;zero;telegram:413539912;Dead Letter Queue autopilot: retry job falliti ogni 30min. Legge ~/.agent/decisions/circuit_breakers.json.;CLAUDE.md §19 Claude Code Tasks;true;false;2026-03-22;
pro-launchd-zombie-hunter;Zombie Hunter;launchd;pro;*/60s;UTC;ok;LOW;false;false;true;none;false;none;~/.claude/scripts/zombie-hunter.sh;;bash ~/.claude/scripts/zombie-hunter.sh;local_fs;;;0.5;;;zero;zero;;Elimina processi zombie ogni 60s. Runs to completion, non KeepAlive.;AUTOMATIONS_REFERENCE.md §3;false;false;2026-03-22;
pro-cron-fly-health;Fly.io Health Check;cron_pro;pro;*/30 7-19 * * *;Asia/Makassar;ok;HIGH;true;true;true;telegram_sent;false;none;~/scripts/fly-health-check.sh;/tmp/cron-fly-health.log;bash ~/scripts/fly-health-check.sh;fly_io;;;1;;;zero;zero;telegram:413539912;Ping Fly.io health ogni 30min (07:00-19:00 WITA). Alert Telegram se down.;CLAUDE.md §8 Backup & Monitoring;true;false;2026-03-14;
pro-cron-drive-poll;Drive Poll;cron_pro;pro;*/5 * * * *;Asia/Makassar;ok;HIGH;true;true;true;db_write;true;none;~/scripts/openclaw-cron/drive-poll.sh;/tmp/drive-poll.log;bash ~/scripts/openclaw-cron/drive-poll.sh;postgres_fly;google_drive_oauth||google_oauth;;0.5;;;zero;zero;telegram:413539912;Google Drive changes poll ogni 5min. page_token in DB. Circuit breaker: 3 failures → OPEN → auto-recovery.;CLAUDE.md §18 Drive Polling CRITICAL;true;false;2026-03-22;NON su Fly.io — perde page_token a ogni cold start. Solo Pro local.
pro-cron-fly-backup;Fly Postgres Backup → Tigris;cron_pro;pro;03:00 WITA;Asia/Makassar;ok;CRITICAL;true;true;false;file_created;true;none;~/scripts/fly-backup.sh;/tmp/fly-backup.log;bash ~/scripts/fly-backup.sh;fly_io|postgres_fly;tigris_s3;;25;;;zero;zero;telegram:413539912;pg_dump Fly Postgres daily → Tigris nuzantara-backups. MAX_RETRIES=3. Retention 30gg.;CLAUDE.md §8 Backup & Monitoring;true;false;2026-03-14;CRITICAL: unica fonte backup produzione. Non idempotente in senso stretto (file con timestamp diverso ogni run).
pro-cron-nlm-nb1-refresh;NLM NB-1 Daily Bundle Refresh;cron_pro;pro;04:30 WITA;Asia/Makassar;ok;MEDIUM;false;false;false;external_api_call;false;none;scripts/nlm_nb1_daily_refresh.py;~/logs/nlm_nb1.log;python3 scripts/nlm_nb1_daily_refresh.py;;notebooklm_api|google_oauth;;25;;;zero;zero;telegram:413539912;NotebookLM NB-1 (Grounding Oracle) aggiornamento bundle giornaliero. Gate di validazione per preflight SDD.;CLAUDE.md §16 Federation Orchestrator;true;false;2026-03-25;Deve finire prima dei cron NLM NB4-NB10 (02:20+). Se fallisce → preflight SDD usa fallback gemini-search.
pro-cron-nlm-nb4;NLM NB4 Pipeline;cron_pro;pro;02:20 WITA (Lun-Sab);Asia/Makassar;ok;LOW;false;false;true;external_api_call;false;none;scripts/run_nb4_pipeline.sh;~/logs/nlm_nb4.log;bash scripts/run_nb4_pipeline.sh;;notebooklm_api;;25;;;zero;zero;;NLM NB-4 research pipeline notturna. Lun-Sab.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-25;
pro-cron-nlm-nb5-t4;NLM NB5 T4 Monitor (Mar+Gio);cron_pro;pro;18:00 WITA (Mar+Gio);Asia/Makassar;ok;LOW;false;false;true;external_api_call;false;none;scripts/run_nb5_t4_monitor.sh;~/logs/nlm_nb5.log;bash scripts/run_nb5_t4_monitor.sh;;notebooklm_api;;50;;;zero;zero;;NLM NB-5 gap analysis T4 monitor. Martedì e Giovedì.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-25;
pro-cron-nlm-nb6;NLM NB6 Pipeline;cron_pro;pro;02:30 WITA (Lun-Sab);Asia/Makassar;ok;LOW;false;false;true;external_api_call;false;none;scripts/run_nb6_pipeline.sh;~/logs/nlm_nb6.log;bash scripts/run_nb6_pipeline.sh;;notebooklm_api;;25;;;zero;zero;;NLM NB-6 pipeline notturna. Lun-Sab.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-25;
pro-cron-nlm-nb8;NLM NB8 Pipeline;cron_pro;pro;02:40 WITA (Lun-Sab);Asia/Makassar;ok;LOW;false;false;true;external_api_call;false;none;scripts/run_nb8_pipeline.sh;~/logs/nlm_nb8.log;bash scripts/run_nb8_pipeline.sh;;notebooklm_api;;25;;;zero;zero;;NLM NB-8 pipeline notturna. Lun-Sab.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-25;
pro-cron-nlm-nb10;NLM NB10 Pipeline;cron_pro;pro;02:50 WITA (Lun-Sab);Asia/Makassar;ok;LOW;false;false;true;external_api_call;false;none;scripts/run_nb10_pipeline.sh;~/logs/nlm_nb10.log;bash scripts/run_nb10_pipeline.sh;;notebooklm_api;;25;;;zero;zero;;NLM NB-10 pipeline notturna. Lun-Sab.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-25;
pro-cron-yt-monitor;YT Monitor (NLM NB-2);cron_pro;pro;30 */6 * * *;Asia/Makassar;ok;LOW;false;false;true;file_created;false;none;scripts/run_yt_monitor.sh;~/logs/yt_monitor.log;bash scripts/run_yt_monitor.sh;;youtube_api|notebooklm_api;;7;;;zero;zero;;Monitor canali YouTube immigration content ogni 6h. Feed NLM NB-2.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-22;
pro-cron-kg-builder;Knowledge Graph Builder;cron_pro;pro;Sun 02:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;db_write;false;none;~/scripts/openclaw-cron/knowledge-graph-builder.sh;~/logs/kg_builder.log;bash ~/scripts/openclaw-cron/knowledge-graph-builder.sh;postgres_fly|qdrant_fly;openai_api;;192;;;zero;zero;telegram:413539912;Rebuild Knowledge Graph settimanale. 56K nodi, 161K edges. Solo domenica.;CLAUDE.md §1 Architecture;true;false;2026-03-24;
pro-cron-conversation-trainer;Conversation Trainer;cron_pro;pro;Sun 03:00 WITA;Asia/Makassar;ok;LOW;false;false;true;db_write;false;none;~/scripts/openclaw-cron/conversation-trainer.sh;~/logs/conv_trainer.log;bash ~/scripts/openclaw-cron/conversation-trainer.sh;postgres_fly;;;192;;;zero;zero;;Fine-tuning conversazionale su dati settimana. Solo domenica.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-22;
pro-cron-legal-radar;Legal Radar (Leggi Indonesiane);cron_pro;pro;Sun 00:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;db_write;false;none;scripts/legal_radar.py;~/logs/legal_radar.log;python3 scripts/legal_radar.py;postgres_fly;gemini_api;;192;;;zero;zero;telegram:413539912;Monitora nuove leggi indonesiane (UU, PP, Permen) settimanale.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-22;
pro-cron-peraturan-ingestion;Peraturan Ingestion;cron_pro;pro;Sun 05:30 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;db_write;false;none;scripts/run_peraturan_ingestion.sh;~/logs/peraturan.log;bash scripts/run_peraturan_ingestion.sh;qdrant_fly|postgres_fly;openai_api;;192;;;zero;zero;;Ingest peraturan (leggi) in Qdrant settimanale.;AUTOMATIONS_REFERENCE.md §5;false;false;2026-03-22;
fly-apscheduler-self-healing;FastAPI Self-Healing Agent;apscheduler_fly;fly_io;*/5min;UTC;ok;HIGH;true;true;false;db_write|telegram_sent;true;asyncio_lock;apps/backend-rag/backend/app/setup/autonomous_scheduler.py;fly logs -a nuzantara-rag;fly ssh console -a nuzantara-rag;postgres_fly|qdrant_fly;;;0.5;;;zero;zero;telegram:413539912;FastAPI self_healing ogni 5min: monitora backend, notifica anomalie. Unico scheduler attivo in prod.;CLAUDE.md §8 FastAPI;true;true;2026-03-22;auto_stop=true su Fly.io — cold start ~35s. Min_machines=0.
fly-apscheduler-notification-daily;Notification Daily Check;apscheduler_fly;fly_io;09:00 WITA;Asia/Makassar;ok;HIGH;true;true;false;db_write|telegram_sent;true;asyncio_lock;apps/backend-rag/backend/app/modules/notifications/scheduler.py;fly logs -a nuzantara-rag;n/a (APScheduler auto-runs);postgres_fly;;;25;;;zero;zero;telegram:413539912;Scansiona clienti → genera alert expiry (visa/passport) → DB. 5000+ clienti. ON CONFLICT dedup.;AUTOMATIONS_REFERENCE.md §9;true;true;2026-03-31;Non rilanciate manualmente — side effect EMAIL_SENT + TELEGRAM_SENT per clienti
fly-apscheduler-notification-hourly;Notification Pending Send;apscheduler_fly;fly_io;*/1h;UTC;ok;HIGH;true;true;false;email_sent|telegram_sent;true;asyncio_lock;apps/backend-rag/backend/app/modules/notifications/scheduler.py;fly logs -a nuzantara-rag;n/a (APScheduler auto-runs);postgres_fly;brevo_email|telegram_bot_api;;1;;;zero;zero;telegram:413539912;Invia notifiche pending ogni ora. ATTENZIONE: side effect EMAIL a clienti — non rilanciare manualmente.;AUTOMATIONS_REFERENCE.md §9;true;true;2026-03-31;IS_IDEMPOTENT=false — rilancio invia email duplicate a clienti!
gh-action-tests;GitHub Actions — Tests;github_actions;github;on_push:any_branch;UTC;ok;MEDIUM;true;false;true;none;false;none;.github/workflows/tests.yml;GitHub Actions UI;gh workflow run tests.yml;postgres_fly;github_api;;0.5;;;zero;zero;telegram:413539912;CI pytest suite su ogni push. Gating per PR merge.;CLAUDE.md §9 Testing;true;true;2026-03-14;
gh-action-fly-deploy;GitHub Actions — Fly Deploy;github_actions;github;on_push:main;UTC;ok;CRITICAL;true;true;false;webhook_fired|external_api_call;false;none;.github/workflows/fly-deploy.yml;GitHub Actions UI;gh workflow run fly-deploy.yml;fly_io;fly_api|github_api|telegram_bot_api;gh-action-tests;1;;;zero;zero;telegram:413539912;Deploy rolling Fly.io su push main. Richiede FLY_API_TOKEN secret.;CLAUDE.md §4 Deployment;true;true;2026-03-22;Pre-deploy: sempre redteam via ai-dispatch. Mai deploy senza red team (CLAUDE.md §16).
gh-action-security;GitHub Actions — Security Scan;github_actions;github;on_push:main;UTC;ok;MEDIUM;false;false;true;none;false;none;.github/workflows/security.yml;GitHub Actions UI;gh workflow run security.yml;;github_api;;24;;;zero;zero;;Security scan su push main.;CLAUDE.md §10 GitHub Actions;true;false;2026-03-14;
webhook-whatsapp;WhatsApp Webhook Handler;webhook;fly_io;on_webhook:whatsapp;UTC;ok;CRITICAL;true;true;false;telegram_sent|external_api_call;true;none;apps/backend-rag/backend/channels/whatsapp/adapter.py;fly logs -a nuzantara-rag;n/a (sempre attivo);postgres_fly|qdrant_fly|redis;whatsapp_meta_api|openai_api|gemini_api;;0.1;;;zero;zero;telegram:413539912;WhatsApp webhook Meta Cloud API. Gemini Flash + RAG. Rate limit: 20 msgs/phone/hour.;CLAUDE.md §13b Channels;true;true;2026-03-16;3 safety gates: JWT auth, 20 msgs/phone/hour, CRM recipient validation.
webhook-telegram;Telegram Webhook Handler;webhook;fly_io;on_webhook:telegram;UTC;ok;HIGH;true;true;false;telegram_sent;true;none;apps/backend-rag/backend/channels/telegram/adapter.py;fly logs -a nuzantara-rag;n/a;postgres_fly|qdrant_fly;telegram_bot_api|openai_api||anthropic_api;;0.1;;;zero;zero;telegram:413539912;Telegram @Balizerobot. Pro polls (solo listener). Air+Fly send only. No conflict.;CLAUDE.md §13b Channels;true;true;2026-03-22;Pro polls, Air/Fly.io send only.
