shot_id,priority,category,purpose,pose,expression,crop,lighting,background,outfit,hair,jewelry,qa_gate,prompt
ZAN-V1-PRI-011,P1,outfit,charcoal blouse variant,front-facing,neutral confident,bust portrait,soft front studio light,neutral gray studio background,structured charcoal silk blouse with subtle antique gold trim,"long straight black hair, center part",small gold hoop earrings,outfit can vary only if face passes QA,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: structured charcoal silk blouse with subtle antique gold trim. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral confident. Crop: bust portrait. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-012,P1,outfit,black blazer authority variant,front-facing,archival calm,bust portrait,soft front studio light,neutral gray studio background,black modern blazer over ivory silk blouse with restrained gold embroidery,"long straight black hair, center part",small gold hoop earrings,outfit can vary only if face passes QA,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: black modern blazer over ivory silk blouse with restrained gold embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: archival calm. Crop: bust portrait. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-013,P2,jewelry,reduced jewelry variant,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",no visible earrings,approve only if lack of earrings does not change identity,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: no visible earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-014,P2,jewelry,pearl earring variant,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small pearl stud earrings,approve only after A/B with gold hoop anchor,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small pearl stud earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-015,P1,bali_context,rice terrace authority portrait,three-quarter right,calm confident,bust portrait,soft golden morning light,"early morning Bali rice terrace with soft volcanic haze, shallow depth of field, background subdued and not touristic",ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,background must not overpower face,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: early morning Bali rice terrace with soft volcanic haze, shallow depth of field, background subdued and not touristic. Lighting: soft golden morning light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: three-quarter right. Expression: calm confident. Crop: bust portrait. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-016,P1,bali_context,temple courtyard portrait,front-facing,protective serious,bust portrait,warm diffused courtyard light,"quiet Balinese temple courtyard with carved stone and warm amber highlights, respectful editorial framing",ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,"respectful, non-costume framing","Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: quiet Balinese temple courtyard with carved stone and warm amber highlights, respectful editorial framing. Lighting: warm diffused courtyard light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: protective serious. Crop: bust portrait. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-017,P1,bali_context,office authority portrait,front-facing,measured archival,half body,soft window light from camera-left,"Bali Zero office interior with dark teak, neutral wall, subtle legal archive shelves, no visible text",black modern blazer over ivory silk blouse with restrained gold embroidery,"long straight black hair, center part",small gold hoop earrings,no readable documents or text,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: black modern blazer over ivory silk blouse with restrained gold embroidery. Background: Bali Zero office interior with dark teak, neutral wall, subtle legal archive shelves, no visible text. Lighting: soft window light from camera-left. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: measured archival. Crop: half body. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-018,P2,bali_context,banyan cinematic reference,three-quarter right,protective calm,half body,warm amber cinematic light,"ancient banyan tree setting with warm amber practical lights, cinematic but photorealistic",structured charcoal silk blouse with subtle antique gold trim,"long straight black hair, center part",small gold hoop earrings,cinematic but still photorealistic,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: structured charcoal silk blouse with subtle antique gold trim. Background: ancient banyan tree setting with warm amber practical lights, cinematic but photorealistic. Lighting: warm amber cinematic light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: three-quarter right. Expression: protective calm. Crop: half body. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-019,P2,hair,hair behind ears,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part, tucked behind both ears",small gold hoop earrings,same hairline and face shape,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part, tucked behind both ears. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-020,P2,hair,loose low bun variant,front-facing,neutral,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long black hair gathered in a loose low bun, same hairline and color",small gold hoop earrings,do not change age or face,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long black hair gathered in a loose low bun, same hairline and color. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
