shot_id,category,pose,expression,crop,lighting,background,outfit,hair,prompt
ZAN-V1-GEN-011,identity,right profile 90 degrees,neutral,head and shoulders,soft side light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft side light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: right profile 90 degrees. Expression: neutral. Crop: head and shoulders."
ZAN-V1-GEN-012,identity,back view,not applicable,shoulders and hair,soft back rim light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft back rim light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: back view. Expression: not applicable. Crop: shoulders and hair."
ZAN-V1-GEN-013,expression,front-facing,calm,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: calm. Crop: headshot."
ZAN-V1-GEN-014,expression,front-facing,closed-mouth smile,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: closed-mouth smile. Crop: headshot."
ZAN-V1-GEN-015,expression,front-facing,open natural smile,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: open natural smile. Crop: headshot."
ZAN-V1-GEN-016,expression,front-facing,confident,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: confident. Crop: headshot."
ZAN-V1-GEN-017,expression,front-facing,thoughtful,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: thoughtful. Crop: headshot."
ZAN-V1-GEN-018,expression,front-facing,slightly surprised,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: slightly surprised. Crop: headshot."
ZAN-V1-GEN-019,expression,front-facing,relaxed,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: relaxed. Crop: headshot."
ZAN-V1-GEN-020,expression,front-facing,intense,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: intense. Crop: headshot."
ZAN-V1-GEN-021,expression,front-facing,micro-smile,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: micro-smile. Crop: headshot."
ZAN-V1-GEN-022,expression,"front-facing, chin slightly high",secure and composed,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing, chin slightly high. Expression: secure and composed. Crop: headshot."
ZAN-V1-GEN-023,expression,front-facing,protective serious,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: protective serious. Crop: headshot."
ZAN-V1-GEN-024,expression,front-facing,warm attentive,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: warm attentive. Crop: headshot."
ZAN-V1-GEN-025,expression,front-facing,determined,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: determined. Crop: headshot."
ZAN-V1-GEN-026,expression,front-facing,archival calm,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: archival calm. Crop: headshot."
ZAN-V1-GEN-027,expression,front-facing,"soft laugh, natural and controlled",headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: soft laugh, natural and controlled. Crop: headshot."
ZAN-V1-GEN-028,expression,front-facing,eyes closed calm,headshot,diffused studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, diffused studio light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: eyes closed calm. Crop: headshot."
ZAN-V1-GEN-029,crop,front-facing,neutral,close-up face,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: close-up face."
ZAN-V1-GEN-030,crop,front-facing,neutral,headshot,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: headshot."
ZAN-V1-GEN-031,crop,front-facing,neutral,shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: shoulders."
ZAN-V1-GEN-032,crop,front-facing,neutral,bust portrait,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: bust portrait."
ZAN-V1-GEN-033,crop,front-facing,neutral,half body,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: half body."
ZAN-V1-GEN-034,crop,front-facing,neutral,three-quarter body,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: three-quarter body."
ZAN-V1-GEN-035,crop,front-facing,neutral,full body,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: full body."
ZAN-V1-GEN-036,crop,"sitting, front-facing",neutral,half body seated,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: sitting, front-facing. Expression: neutral. Crop: half body seated."
ZAN-V1-GEN-037,crop,front-facing,neutral,wide portrait with negative space,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: wide portrait with negative space."
ZAN-V1-GEN-038,crop,three-quarter right,neutral,wide portrait with negative space,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: three-quarter right. Expression: neutral. Crop: wide portrait with negative space."
ZAN-V1-GEN-039,crop,right profile,neutral,bust profile portrait,soft side light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft side light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: right profile. Expression: neutral. Crop: bust profile portrait."
ZAN-V1-GEN-040,crop,"standing, front-facing",neutral,full body standing,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: standing, front-facing. Expression: neutral. Crop: full body standing."
ZAN-V1-GEN-041,lighting,front-facing,neutral,head and shoulders,side light from camera-left,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, side light from camera-left, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: head and shoulders."
ZAN-V1-GEN-042,lighting,front-facing,neutral,head and shoulders,side light from camera-right,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, side light from camera-right, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral. Crop: head and shoulders."
